1, Audi, RS7, 560 to 605 WHP, 516 lb-ft, 190MPH, Ibis-White, audirs7.jpg,
2, Audi, R8, 420WHP, 398 to 413 lb-ft, 185MPH, Ibis-White, audir8.jpg,
3, Lamborghini, Aventador, 691 to 740 WHP, 507 lb-ft, 217MPH, Grigio Antares Metallic, aventador.jpg,
4, Porsche, GT3, whp, torque, 195MPH, Carrara White, gt3.jpg,
5, Mercedes, G-Wagon, 422 WHP, 450 lb-ft, 155 MPH, Nimbus-Grey, gwagon.jpg,
6, Ferrari, LaFerrari, 949 WHP, 664 lb-ft, 217MPH, Rosso Corsa Red, laferrari.jpg,
7, Pagani, Huayra, 764WHP, , 198MPH, Blue, pagani.jpg,
8, BMW, E-30 M3, 192WHP, , 155MPH, Alpine White II, m3.jpg,
9, BMW, I8, 357WHP, 420 lb-ft, 155MPH, Crystal White Pearl Metallic w/Frozen Gray Accent [White], i8.jpg,
